id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison,id_date
ORD-000042,C04395,P011,2026-03-19,5,14137.04,livré,Tanger,Card,L019,2026-03-24,20260319
ORD-000044,C03058,P035,2025-07-15,1,3344.28,livré,Meknès,Card,L007,2025-07-17,20250715
ORD-000045,C01715,P071,2026-04-27,1,2615.47,retourné,Oujda,Transfer,L013,,20260427
ORD-000047,C03304,P065,2025-08-15,5,8042.6,annulé,Casablanca,Transfer,L020,,20250815
ORD-000056,C01381,P015,2026-02-27,5,7919.83,retourné,Casablanca,Cash,L017,,20260227
ORD-000062,C01217,P074,2025-05-20,3,10333.28,retourné,Fès,Cash,L000,,20250520
ORD-000063,C04534,P010,2025-07-28,3,716.27,retourné,Rabat,Cash,L013,,20250728
ORD-000066,C01309,P065,2025-07-14,3,8042.6,retourné,Fès,Transfer,L000,,20250714
ORD-000074,C04603,P073,2025-10-15,5,3991.83,en_cours,Agadir,Transfer,L017,,20251015
ORD-000078,C02160,P071,2025-07-17,1,2615.47,annulé,Rabat,Card,L020,,20250717
ORD-000079,C03209,P046,2025-08-24,5,9193.66,livré,Fès,Card,L018,2025-08-27,20250824
ORD-000080,C02658,P031,2025-10-08,2,6633.11,retourné,Fès,Cash,L012,,20251008
ORD-000085,C03236,P093,2026-04-08,4,4435.51,en_cours,Marrakech,Card,L014,,20260408
ORD-000088,C03740,P007,2025-11-28,1,9603.6,annulé,Fès,Card,L008,,20251128
ORD-000092,C00719,P012,2025-08-19,5,10834.16,annulé,Tanger,Card,L017,,20250819
ORD-000095,C03541,P030,2025-11-02,1,12693.09,retourné,Rabat,Card,L011,,20251102
ORD-000096,C01892,P060,2025-12-16,1,14019.98,retourné,Fès,Cash,L015,,20251216
ORD-000102,C04689,P027,2025-07-18,2,1508.72,annulé,Tanger,Cash,L019,,20250718
ORD-000104,C00886,P097,2026-02-04,2,12372.1,annulé,Agadir,Transfer,L005,,20260204
ORD-000105,C03101,P034,2025-10-21,3,13868.06,annulé,Marrakech,Transfer,L005,,20251021
ORD-000114,C00828,P001,2025-08-22,4,2101.67,annulé,Tanger,Card,L009,,20250822
ORD-000120,C04968,P069,2026-03-28,2,1286.86,livré,Fès,Card,L007,2026-04-01,20260328
ORD-000123,C04614,P027,2025-07-03,3,1508.72,annulé,Agadir,Transfer,L013,,20250703
ORD-000129,C03339,P002,2025-12-14,5,2990.58,livré,Meknès,Transfer,L002,2025-12-18,20251214
ORD-000139,C04618,P098,2026-02-18,2,14699.33,en_cours,Rabat,Card,L004,,20260218
ORD-000145,C03349,P059,2025-07-23,2,11009.59,en_cours,Oujda,Card,L005,,20250723
ORD-000151,C01385,P037,2026-03-06,4,14556.31,livré,Marrakech,Card,L003,2026-03-10,20260306
ORD-000152,C02758,P056,2025-10-09,5,12291.32,livré,Marrakech,Cash,L016,2025-10-11,20251009
ORD-000153,C03388,P048,2025-05-12,1,13396.47,retourné,Meknès,Cash,L004,,20250512
ORD-000155,C02151,P077,2026-03-28,3,10408.17,retourné,Casablanca,Card,L001,,20260328
ORD-000157,C03423,P062,2026-05-07,2,2873.94,livré,Agadir,Cash,L003,2026-05-12,20260507
ORD-000158,C03158,P008,2025-10-20,2,13697.91,en_cours,Casablanca,Cash,L000,,20251020
ORD-000159,C00111,P070,2025-07-14,3,6438.16,livré,Tanger,Card,L009,2025-07-15,20250714
ORD-000163,C04915,P077,2026-02-28,2,10408.17,en_cours,Agadir,Transfer,L018,,20260228
ORD-000167,C02885,P051,2025-08-02,4,11974.15,DONE,Tanger,Transfer,L011,,20250802
ORD-000170,C03481,P001,2025-10-29,5,2101.67,KO,Agadir,Transfer,L013,,20251029
ORD-000172,C02507,P034,2026-01-15,3,13868.06,annulé,Meknès,Transfer,L003,,20260115
ORD-000173,C00926,P047,2025-06-13,4,12599.54,retourné,Casablanca,Transfer,L001,,20250613
ORD-000175,C00322,P070,2026-03-28,1,6438.16,en_cours,Tanger,Transfer,L005,,20260328
ORD-000177,C04574,P095,2026-01-17,1,10216.02,annulé,Meknès,Card,L018,,20260117
ORD-000180,C01903,P065,2025-06-06,5,8042.6,KO,Agadir,Transfer,L012,,20250606
ORD-000181,C02014,P048,2025-06-21,4,13396.47,livré,Rabat,Card,L000,2025-06-25,20250621
ORD-000186,C02111,P100,2025-09-26,5,957.62,en_cours,Marrakech,Transfer,L019,,20250926
ORD-000188,C02840,P067,2025-09-07,5,13028.23,en_cours,Casablanca,Cash,L018,,20250907
ORD-000191,C01907,P043,2025-09-07,4,376.14,retourné,Tanger,Cash,L005,,20250907
ORD-000192,C01364,P036,2025-11-28,1,4186.26,en_cours,Casablanca,Cash,L018,,20251128
ORD-000193,C04900,P077,2025-10-13,2,10408.17,annulé,Tanger,Cash,L008,,20251013
ORD-000196,C03656,P009,2025-08-27,1,8424.91,retourné,Casablanca,Transfer,L013,,20250827
ORD-000197,C02588,P079,2026-01-30,5,11402.26,retourné,Oujda,Transfer,L004,,20260130
ORD-000202,C00714,P026,2026-01-28,2,3991.56,en_cours,Casablanca,Card,L020,,20260128
ORD-000204,C02586,P061,2025-06-03,3,12765.78,annulé,Oujda,Cash,L003,,20250603
ORD-000208,C00386,P009,2026-04-15,3,8424.91,retourné,Agadir,Transfer,L008,,20260415
ORD-000209,C01058,P044,2025-05-18,3,6000.8,livré,Casablanca,Transfer,L018,2025-05-22,20250518
ORD-000214,C02479,P055,2026-01-26,1,1724.7,en_cours,Meknès,Transfer,L017,,20260126
ORD-000216,C01286,P080,2026-03-07,5,9454.03,annulé,Casablanca,Cash,L008,,20260307
ORD-000219,C04079,P094,2025-12-18,5,12494.26,annulé,Casablanca,Transfer,L020,,20251218
ORD-000222,C02436,P063,2025-11-27,2,268.48,annulé,Tanger,Cash,L002,,20251127
ORD-000228,C00139,P066,2025-07-21,5,4450.73,KO,Fès,Card,L002,,20250721
ORD-000229,C02208,P071,2025-07-21,4,2615.47,annulé,Oujda,Card,L020,,20250721
ORD-000232,C03440,P082,2026-02-18,1,8273.46,DONE,Casablanca,Transfer,L016,,20260218
ORD-000237,C00426,P088,2025-09-29,3,4317.81,retourné,Casablanca,Transfer,L013,,20250929
ORD-000239,C03442,P084,2025-10-04,5,2837.9,livré,Fès,Cash,L003,2025-10-06,20251004
ORD-000242,C01512,P045,2025-09-14,4,3745.48,livré,Tanger,Card,L008,2025-09-16,20250914
ORD-000251,C04884,P009,2026-02-19,2,8424.91,en_cours,Meknès,Transfer,L020,,20260219
ORD-000254,C04468,P048,2025-11-13,1,13396.47,retourné,Oujda,Card,L014,,20251113
ORD-000255,C00585,P008,2025-05-13,1,13697.91,livré,Meknès,Transfer,L007,2025-05-16,20250513
ORD-000256,C01918,P072,2025-10-24,5,10547.78,retourné,Tanger,Cash,L018,,20251024
ORD-000262,C03779,P086,2025-05-14,5,7894.01,livré,Meknès,Card,L016,2025-05-19,20250514
ORD-000263,C02448,P007,2026-04-15,1,9603.6,KO,Oujda,Cash,L013,,20260415
ORD-000264,C02739,P001,2025-10-10,1,2101.67,en_cours,Marrakech,Transfer,L017,,20251010
ORD-000265,C03729,P026,2025-09-18,3,3991.56,en_cours,Tanger,Card,L009,,20250918
ORD-000267,C00460,P015,2025-05-31,3,7919.83,retourné,Tanger,Card,L017,,20250531
ORD-000275,C04155,P065,2026-03-29,5,8042.6,retourné,Tanger,Card,L003,,20260329
ORD-000284,C02928,P054,2025-11-05,1,9755.66,livré,Rabat,Card,L015,2025-11-07,20251105
ORD-000285,C03476,P039,2025-11-07,1,9966.92,annulé,Meknès,Card,L014,,20251107
ORD-000286,C00613,P042,2025-11-12,2,1281.09,livré,Casablanca,Card,L008,2025-11-17,20251112
ORD-000289,C02355,P078,2025-12-15,4,7723.8,retourné,Meknès,Card,L007,,20251215
ORD-000297,C00033,P030,2025-12-24,1,12693.09,retourné,Fès,Cash,L016,,20251224
ORD-000298,C00241,P098,2025-05-23,4,14699.33,retourné,Agadir,Cash,L002,,20250523
ORD-000304,C01745,P041,2025-10-30,2,8703.97,annulé,Meknès,Cash,L006,,20251030
ORD-000307,C03739,P029,2026-04-29,5,11138.83,livré,Marrakech,Transfer,L010,2026-05-01,20260429
ORD-000308,C02294,P015,2026-02-13,2,7919.83,en_cours,Rabat,Transfer,L000,,20260213
ORD-000310,C00680,P036,2025-11-14,5,4186.26,en_cours,Meknès,Card,L008,,20251114
ORD-000312,C01794,P064,2025-08-07,2,4968.56,livré,Oujda,Cash,L011,2025-08-11,20250807
ORD-000316,C01138,P004,2025-06-07,2,8048.06,retourné,Marrakech,Cash,L005,,20250607
ORD-000317,C03251,P069,2025-10-22,5,1286.86,retourné,Meknès,Card,L001,,20251022
ORD-000318,C02326,P070,2025-08-08,2,6438.16,retourné,Oujda,Transfer,L018,,20250808
ORD-000323,C02066,P053,2025-11-22,2,4181.07,en_cours,Meknès,Transfer,L018,,20251122
ORD-000326,C01816,P013,2026-02-18,1,5614.97,en_cours,Marrakech,Cash,L008,,20260218
ORD-000330,C00841,P005,2026-04-16,3,696.91,en_cours,Rabat,Cash,L013,,20260416
ORD-000332,C03755,P048,2026-04-21,3,13396.47,en_cours,Casablanca,Transfer,L016,,20260421
ORD-000344,C02384,P041,2025-09-14,3,8703.97,OK,Rabat,Transfer,L016,,20250914
ORD-000346,C02565,P021,2026-04-07,1,14989.24,retourné,Meknès,Cash,L015,,20260407
ORD-000351,C00270,P086,2025-05-12,1,7894.01,retourné,Fès,Card,L016,,20250512
ORD-000355,C01267,P001,2026-01-26,4,2101.67,livré,Tanger,Card,L008,2026-01-30,20260126
ORD-000357,C00364,P044,2025-11-21,2,6000.8,en_cours,Rabat,Transfer,L009,,20251121
ORD-000358,C04979,P009,2025-06-11,1,8424.91,retourné,Marrakech,Cash,L014,,20250611
ORD-000359,C02658,P044,2025-11-22,3,6000.8,en_cours,Tanger,Cash,L014,,20251122
ORD-000363,C00896,P047,2025-10-12,1,12599.54,en_cours,Meknès,Cash,L020,,20251012
ORD-000367,C03453,P039,2025-06-15,3,9966.92,livré,Agadir,Card,L000,2025-06-19,20250615
ORD-000368,C03373,P018,2025-11-22,5,13236.92,en_cours,Marrakech,Cash,L017,,20251122
ORD-000371,C00320,P006,2025-06-19,4,5559.01,livré,Fès,Cash,L004,2025-06-21,20250619
ORD-000372,C04998,P006,2025-11-15,5,5559.01,annulé,Marrakech,Transfer,L013,,20251115
ORD-000382,C04560,P080,2026-05-02,3,9454.03,retourné,Agadir,Cash,L008,,20260502
ORD-000388,C03878,P015,2025-07-04,3,7919.83,annulé,Rabat,Card,L018,,20250704
ORD-000391,C01489,P094,2025-12-23,4,12494.26,KO,Tanger,Cash,L015,,20251223
ORD-000403,C03620,P062,2025-12-29,1,2873.94,annulé,Agadir,Transfer,L004,,20251229
ORD-000404,C03496,P090,2025-05-13,2,11889.87,livré,Rabat,Transfer,L010,2025-05-18,20250513
ORD-000411,C03622,P039,2026-04-24,3,9966.92,livré,Casablanca,Transfer,L017,2026-04-29,20260424
ORD-000413,C02941,P095,2026-02-17,1,10216.02,annulé,Oujda,Cash,L003,,20260217
ORD-000415,C04764,P059,2025-07-27,1,11009.59,OK,Oujda,Transfer,L013,,20250727
ORD-000416,C03318,P059,2026-03-16,5,11009.59,retourné,Oujda,Card,L006,,20260316
ORD-000422,C01029,P098,2025-09-01,1,14699.33,en_cours,Rabat,Transfer,L007,,20250901
ORD-000423,C04611,P010,2025-07-13,5,716.27,en_cours,Agadir,Transfer,L003,,20250713
ORD-000427,C02788,P085,2026-03-02,5,12173.02,livré,Meknès,Transfer,L003,2026-03-06,20260302
ORD-000428,C01162,P099,2025-09-05,3,10088.39,en_cours,Tanger,Cash,L013,,20250905
ORD-000434,C00534,P006,2025-11-24,1,5559.01,en_cours,Oujda,Transfer,L016,,20251124
ORD-000435,C01075,P037,2026-04-30,4,14556.31,en_cours,Agadir,Card,L001,,20260430
ORD-000436,C03398,P034,2025-12-06,2,13868.06,livré,Casablanca,Cash,L019,2025-12-09,20251206
ORD-000437,C00506,P037,2026-01-31,3,14556.31,livré,Oujda,Cash,L000,2026-02-02,20260131
ORD-000440,C03130,P014,2025-12-10,2,8514.68,livré,Rabat,Card,L013,2025-12-14,20251210
ORD-000444,C01234,P043,2025-06-10,3,376.14,annulé,Fès,Card,L004,,20250610
ORD-000447,C01240,P060,2025-05-23,1,14019.98,livré,Agadir,Transfer,L005,2025-05-27,20250523
ORD-000448,C03329,P038,2025-10-02,5,1743.53,livré,Fès,Cash,L020,2025-10-06,20251002
ORD-000452,C00312,P008,2025-11-15,5,13697.91,annulé,Marrakech,Transfer,L020,,20251115
ORD-000462,C02775,P045,2026-03-13,4,3745.48,annulé,Casablanca,Cash,L015,,20260313
ORD-000463,C00410,P007,2026-01-12,3,9603.6,livré,Rabat,Transfer,L008,2026-01-15,20260112
ORD-000464,C04855,P036,2026-01-06,3,4186.26,annulé,Agadir,Transfer,L007,,20260106
ORD-000467,C03311,P073,2025-10-06,3,3991.83,annulé,Agadir,Cash,L014,,20251006
ORD-000468,C02030,P005,2026-04-10,2,696.91,livré,Meknès,Transfer,L004,2026-04-12,20260410
ORD-000474,C04433,P011,2025-12-03,3,14137.04,en_cours,Fès,Cash,L014,,20251203
ORD-000476,C00865,P038,2025-05-31,2,1743.53,retourné,Rabat,Card,L005,,20250531
ORD-000481,C02496,P062,2025-10-06,5,2873.94,annulé,Agadir,Card,L007,,20251006
ORD-000483,C02348,P093,2025-06-01,4,4435.51,en_cours,Agadir,Transfer,L018,,20250601
ORD-000484,C04830,P013,2025-06-20,1,5614.97,retourné,Fès,Transfer,L009,,20250620
ORD-000492,C01232,P048,2025-09-16,4,13396.47,livré,Meknès,Cash,L006,2025-09-19,20250916
ORD-000495,C02560,P066,2025-11-28,2,4450.73,en_cours,Meknès,Card,L007,,20251128
ORD-000499,C03081,P019,2025-06-26,2,12958.91,en_cours,Meknès,Transfer,L016,,20250626
ORD-000501,C00162,P057,2025-07-09,3,10362.31,livré,Agadir,Card,L012,2025-07-11,20250709
ORD-000504,C02775,P065,2026-01-24,2,8042.6,annulé,Agadir,Card,L017,,20260124
ORD-000507,C00105,P087,2025-06-03,5,12786.6,annulé,Casablanca,Card,L009,,20250603
ORD-000508,C03671,P026,2026-05-04,4,3991.56,retourné,Oujda,Cash,L010,,20260504
ORD-000509,C00499,P096,2025-09-20,1,4433.71,en_cours,Meknès,Card,L014,,20250920
ORD-000510,C04198,P079,2025-08-02,2,11402.26,annulé,Fès,Transfer,L020,,20250802
ORD-000511,C00975,P067,2025-11-07,2,13028.23,annulé,Meknès,Cash,L006,,20251107
ORD-000514,C00280,P071,2026-01-31,2,2615.47,annulé,Tanger,Cash,L002,,20260131
ORD-000515,C04072,P009,2025-06-17,3,8424.91,retourné,Agadir,Transfer,L016,,20250617
ORD-000520,C02247,P021,2025-09-10,4,14989.24,retourné,Casablanca,Card,L009,,20250910
ORD-000522,C03193,P037,2025-11-28,5,14556.31,en_cours,Marrakech,Cash,L009,,20251128
ORD-000526,C02164,P072,2025-07-20,1,10547.78,livré,Casablanca,Transfer,L013,2025-07-25,20250720
ORD-000535,C02799,P072,2025-07-16,5,10547.78,retourné,Rabat,Cash,L000,,20250716
ORD-000539,C03013,P048,2025-09-10,2,13396.47,livré,Rabat,Transfer,L014,2025-09-15,20250910
ORD-000540,C00428,P071,2025-07-20,2,2615.47,annulé,Marrakech,Card,L002,,20250720
ORD-000551,C04649,P026,2026-03-14,4,3991.56,annulé,Agadir,Cash,L002,,20260314
ORD-000553,C03652,P087,2025-08-18,2,12786.6,en_cours,Marrakech,Transfer,L020,,20250818
ORD-000554,C04350,P078,2025-05-23,5,7723.8,livré,Agadir,Card,L003,2025-05-27,20250523
ORD-000560,C01492,P041,2025-11-04,3,8703.97,annulé,Marrakech,Transfer,L003,,20251104
ORD-000561,C04153,P066,2025-10-05,1,4450.73,livré,Tanger,Transfer,L003,2025-10-08,20251005
ORD-000564,C01738,P006,2025-05-25,1,5559.01,annulé,Oujda,Cash,L012,,20250525
ORD-000576,C04257,P028,2025-06-23,1,8152.84,retourné,Oujda,Transfer,L000,,20250623
ORD-000577,C04873,P023,2025-09-19,4,4457.65,annulé,Fès,Card,L000,,20250919
ORD-000578,C01153,P052,2025-08-27,1,6434.91,retourné,Fès,Cash,L015,,20250827
ORD-000580,C00213,P003,2026-01-24,5,2340.64,retourné,Fès,Transfer,L015,,20260124
ORD-000582,C00222,P040,2026-03-25,1,1918.04,annulé,Oujda,Card,L001,,20260325
ORD-000588,C03710,P085,2026-05-07,2,12173.02,annulé,Meknès,Transfer,L002,,20260507
ORD-000589,C03554,P004,2026-04-12,2,8048.06,DONE,Fès,Card,L004,,20260412
ORD-000590,C04779,P085,2025-05-23,4,12173.02,annulé,Rabat,Card,L016,,20250523
ORD-000591,C02421,P019,2026-03-13,3,12958.91,retourné,Marrakech,Cash,L017,,20260313
ORD-000594,C02622,P082,2026-01-30,1,8273.46,livré,Marrakech,Card,L007,2026-02-01,20260130
ORD-000598,C02126,P037,2025-08-20,1,14556.31,livré,Meknès,Card,L004,2025-08-24,20250820
ORD-000604,C03036,P040,2025-11-20,5,1918.04,annulé,Meknès,Card,L006,,20251120
ORD-000605,C02597,P083,2025-10-01,5,4485.35,annulé,Meknès,Cash,L000,,20251001
ORD-000606,C03753,P066,2026-04-30,3,4450.73,retourné,Marrakech,Card,L005,,20260430
ORD-000610,C04072,P100,2025-10-14,3,957.62,livré,Marrakech,Transfer,L012,2025-10-19,20251014
ORD-000618,C03921,P055,2025-10-12,4,1724.7,retourné,Oujda,Cash,L010,,20251012
ORD-000621,C03932,P073,2025-08-10,2,3991.83,annulé,Agadir,Transfer,L003,,20250810
ORD-000622,C04346,P059,2025-11-09,4,11009.59,livré,Agadir,Cash,L018,2025-11-11,20251109
ORD-000623,C04251,P003,2025-07-28,2,2340.64,livré,Oujda,Cash,L000,2025-08-02,20250728
ORD-000624,C01639,P007,2026-03-20,3,9603.6,annulé,Meknès,Transfer,L000,,20260320
ORD-000625,C02678,P053,2026-04-22,4,4181.07,en_cours,Oujda,Card,L005,,20260422
ORD-000628,C02191,P015,2025-07-04,4,7919.83,annulé,Marrakech,Transfer,L015,,20250704
ORD-000629,C04582,P083,2025-11-05,4,4485.35,retourné,Meknès,Transfer,L020,,20251105
ORD-000630,C02970,P050,2025-08-11,1,4486.2,retourné,Marrakech,Cash,L004,,20250811
ORD-000631,C02492,P068,2025-09-10,4,1720.17,livré,Agadir,Transfer,L004,2025-09-13,20250910
ORD-000634,C04415,P024,2025-09-27,1,862.62,livré,Agadir,Cash,L001,2025-10-01,20250927
ORD-000638,C03231,P031,2026-04-07,1,6633.11,annulé,Rabat,Cash,L008,,20260407
ORD-000639,C04966,P092,2025-11-21,2,3758.97,annulé,Marrakech,Card,L013,,20251121
ORD-000640,C01140,P033,2026-02-23,5,5311.64,retourné,Tanger,Card,L009,,20260223
ORD-000641,C03467,P027,2026-01-24,5,1508.72,OK,Meknès,Transfer,L002,,20260124
ORD-000643,C04823,P028,2026-01-28,5,8152.84,en_cours,Meknès,Transfer,L012,,20260128
ORD-000649,C03127,P081,2026-04-27,4,6927.1,retourné,Meknès,Card,L005,,20260427
ORD-000651,C01626,P071,2025-10-10,5,2615.47,retourné,Fès,Cash,L005,,20251010
ORD-000654,C03691,P041,2025-10-25,2,8703.97,livré,Tanger,Cash,L013,2025-10-28,20251025
ORD-000657,C02731,P034,2026-04-01,4,13868.06,retourné,Fès,Cash,L015,,20260401
ORD-000660,C04827,P034,2025-06-02,5,13868.06,en_cours,Meknès,Cash,L005,,20250602
ORD-000661,C02919,P018,2025-08-19,5,13236.92,annulé,Casablanca,Transfer,L010,,20250819
ORD-000662,C00313,P085,2026-02-23,1,12173.02,livré,Oujda,Cash,L019,2026-02-28,20260223
ORD-000665,C03461,P052,2025-07-02,3,6434.91,annulé,Rabat,Card,L017,,20250702
ORD-000668,C00590,P088,2025-06-05,5,4317.81,annulé,Casablanca,Cash,L013,,20250605
ORD-000672,C02143,P021,2025-08-10,1,14989.24,retourné,Fès,Transfer,L020,,20250810
ORD-000674,C01689,P064,2025-11-12,2,4968.56,annulé,Rabat,Transfer,L018,,20251112
ORD-000675,C04004,P015,2025-10-20,4,7919.83,retourné,Marrakech,Cash,L020,,20251020
ORD-000676,C02540,P083,2025-09-20,1,4485.35,retourné,Casablanca,Transfer,L007,,20250920
ORD-000677,C02282,P054,2026-02-04,4,9755.66,retourné,Oujda,Transfer,L005,,20260204
ORD-000678,C04835,P036,2025-12-26,2,4186.26,en_cours,Meknès,Transfer,L013,,20251226
ORD-000683,C01428,P018,2025-09-17,4,13236.92,en_cours,Marrakech,Card,L004,,20250917
ORD-000688,C01305,P096,2025-07-30,4,4433.71,retourné,Meknès,Card,L006,,20250730
ORD-000698,C03256,P086,2025-12-19,5,7894.01,annulé,Oujda,Transfer,L008,,20251219
ORD-000702,C04804,P012,2026-02-11,5,10834.16,retourné,Fès,Transfer,L004,,20260211
ORD-000709,C03377,P062,2026-03-18,3,2873.94,annulé,Fès,Card,L000,,20260318
ORD-000710,C03231,P093,2025-06-02,4,4435.51,livré,Casablanca,Transfer,L017,2025-06-05,20250602
ORD-000711,C03803,P086,2025-06-14,4,7894.01,en_cours,Oujda,Cash,L001,,20250614
ORD-000712,C01195,P036,2026-04-14,3,4186.26,annulé,Agadir,Transfer,L013,,20260414
ORD-000716,C01639,P002,2025-05-15,4,2990.58,retourné,Fès,Card,L005,,20250515
ORD-000725,C03518,P063,2026-03-15,1,268.48,annulé,Tanger,Cash,L006,,20260315
ORD-000726,C02431,P093,2025-08-26,2,4435.51,annulé,Agadir,Card,L012,,20250826
ORD-000727,C03575,P100,2026-01-05,3,957.62,annulé,Fès,Card,L017,,20260105
ORD-000729,C03076,P060,2025-11-11,4,14019.98,annulé,Casablanca,Card,L003,,20251111
ORD-000732,C04456,P034,2025-12-01,2,13868.06,retourné,Fès,Cash,L015,,20251201
ORD-000733,C04544,P058,2025-06-23,2,1043.66,annulé,Marrakech,Transfer,L007,,20250623
ORD-000734,C01475,P047,2025-05-30,5,12599.54,KO,Tanger,Card,L003,,20250530
ORD-000736,C00420,P054,2025-10-19,3,9755.66,retourné,Marrakech,Card,L004,,20251019
ORD-000742,C02662,P024,2025-07-14,3,862.62,en_cours,Rabat,Cash,L007,,20250714
ORD-000752,C00031,P100,2026-02-05,5,957.62,livré,Oujda,Transfer,L012,2026-02-10,20260205
ORD-000756,C01629,P088,2026-05-11,5,4317.81,KO,Agadir,Transfer,L000,,20260511
ORD-000757,C01411,P042,2025-11-10,2,1281.09,livré,Marrakech,Cash,L008,2025-11-13,20251110
ORD-000761,C04088,P047,2025-10-22,3,12599.54,livré,Tanger,Transfer,L008,2025-10-26,20251022
ORD-000763,C00098,P069,2025-05-19,5,1286.86,livré,Agadir,Cash,L000,2025-05-20,20250519
ORD-000764,C02350,P083,2026-03-26,5,4485.35,livré,Agadir,Card,L012,2026-03-29,20260326
ORD-000768,C01505,P055,2025-11-22,1,1724.7,retourné,Rabat,Cash,L011,,20251122
ORD-000771,C04009,P040,2026-05-09,1,1918.04,annulé,Meknès,Card,L000,,20260509
ORD-000772,C00533,P014,2026-04-28,3,8514.68,annulé,Marrakech,Transfer,L012,,20260428
ORD-000775,C01485,P094,2026-03-11,2,12494.26,annulé,Oujda,Cash,L014,,20260311
ORD-000776,C01736,P085,2025-07-18,3,12173.02,en_cours,Oujda,Card,L008,,20250718
ORD-000777,C04337,P045,2025-11-21,4,3745.48,livré,Meknès,Transfer,L005,2025-11-22,20251121
ORD-000783,C01785,P070,2026-02-25,1,6438.16,annulé,Agadir,Card,L000,,20260225
ORD-000787,C00570,P059,2025-06-11,2,11009.59,livré,Tanger,Transfer,L006,2025-06-15,20250611
ORD-000789,C02221,P026,2026-03-26,1,3991.56,retourné,Oujda,Transfer,L006,,20260326
ORD-000791,C02655,P049,2025-07-21,4,6994.21,en_cours,Meknès,Transfer,L010,,20250721
ORD-000794,C04680,P096,2025-06-10,1,4433.71,OK,Rabat,Transfer,L008,,20250610
ORD-000803,C01130,P015,2025-05-25,3,7919.83,en_cours,Rabat,Transfer,L020,,20250525
ORD-000807,C03289,P047,2025-09-28,4,12599.54,retourné,Meknès,Cash,L004,,20250928
ORD-000809,C03501,P066,2025-07-27,4,4450.73,annulé,Tanger,Transfer,L003,,20250727
ORD-000817,C00619,P021,2026-02-21,5,14989.24,annulé,Marrakech,Card,L004,,20260221
ORD-000818,C01264,P069,2025-10-28,3,1286.86,livré,Rabat,Cash,L011,2025-10-30,20251028
ORD-000819,C01503,P094,2025-06-18,4,12494.26,en_cours,Casablanca,Cash,L009,,20250618
ORD-000821,C04867,P029,2025-07-05,2,11138.83,en_cours,Marrakech,Card,L013,,20250705
ORD-000823,C03809,P021,2026-05-04,2,14989.24,annulé,Oujda,Cash,L008,,20260504
ORD-000825,C00139,P046,2026-02-24,5,9193.66,livré,Marrakech,Transfer,L011,2026-02-28,20260224
ORD-000827,C02470,P006,2025-11-05,2,5559.01,livré,Casablanca,Transfer,L014,2025-11-09,20251105
ORD-000835,C00701,P066,2025-05-15,4,4450.73,annulé,Fès,Card,L009,,20250515
ORD-000837,C00364,P018,2025-06-25,3,13236.92,livré,Casablanca,Card,L013,2025-06-30,20250625
ORD-000838,C02303,P070,2026-04-29,1,6438.16,annulé,Meknès,Transfer,L020,,20260429
ORD-000844,C01792,P038,2025-11-20,1,1743.53,retourné,Marrakech,Cash,L004,,20251120
ORD-000845,C04786,P046,2025-09-05,5,9193.66,livré,Fès,Card,L000,2025-09-08,20250905
