id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
ORD-000034,C00027,P066,2025-06-20,3,4450.73,en_cours,Rabat,Card,L005,
ORD-000035,C01097,P012,31/05/2025,3,10834.16,livré,Agadir,Transfer,L005,2025-06-02
ORD-000036,C00581,P053,2025-11-28,3,4181.07,livré,Tnja,Cash,L014,2025-12-01
ORD-000037,C01966,P059,06/10/2025,2,11009.59,retourné,Rabat,Card,L003,
ORD-000038,C04618,P030,21/11/2025,5,12693.09,retourné,Meknès,Transfer,L014,
ORD-000039,C00591,P076,Jun 10 2025,1,8784.09,retourné,Casablanca,Card,L001,
ORD-000040,C01583,P059,18/06/2025,5,11009.59,en_cours,Agadir,Transfer,L003,
ORD-000041,C02246,P006,15/06/2025,3,5559.01,retourné,Meknès,Transfer,L020,
ORD-000042,C04395,P011,2026-03-29,5,14137.04,livré,TANGER,Card,L019,2026-04-03
ORD-000043,C03795,P099,28/04/2026,3,10088.39,retourné,Oujda,Cash,L016,
ORD-000044,C03058,P035,2025-07-25,1,3344.28,livré,Meknès,Card,L007,2025-07-27
ORD-000045,C01715,P071,2026-05-07,1,2615.47,retourné,Oujda,Transfer,L013,
ORD-000046,C01486,P062,24/01/2026,5,2873.94,en_cours,Agadir,Cash,L010,
ORD-000047,C03304,P065,2025-08-25,5,8042.6,annulé,Casablanca,Transfer,L020,
ORD-000048,C01880,P025,May 05 2026,3,0.0,en_cours,Fès,Card,L018,
ORD-000049,C02063,P045,14/05/2026,4,3745.48,en_cours,Fès,Cash,L004,
ORD-000050,C00752,P055,Jun 18 2025,4,1724.7,livré,tanger,Transfer,L008,2025-06-19
ORD-000051,C02108,P057,Jan 05 2026,1,10362.31,retourné,Oujda,Transfer,L001,
ORD-000052,C04102,P004,May 31 2025,3,8048.06,annulé,Casablanca,Transfer,,
ORD-000053,C04113,P002,Oct 09 2025,3,2990.58,en_cours,Meknès,Card,L015,
ORD-000054,C04904,P055,Nov 02 2025,2,1724.7,retourné,Casablanca,Cash,L011,
ORD-000055,C04336,P048,10/08/2025,3,13396.47,retourné,Oujda,Transfer,L016,
ORD-000056,C01381,P015,2026-03-09,5,7919.83,retourné,Casablanca,Cash,L017,
ORD-000057,C04793,P056,05/09/2025,4,12291.32,livré,Fès,Card,L018,2025-09-08
ORD-000058,C03790,P011,15/01/2026,3,14137.04,retourné,Casablanca,Cash,,
ORD-000059,C02488,P088,Jan 18 2026,2,4317.81,retourné,Agadir,Transfer,L008,
ORD-000060,C04935,P087,19/01/2026,5,12786.6,retourné,Marrakech,Card,,
ORD-000061,C03097,P012,May 07 2026,1,10834.16,livré,Casablanca,Transfer,L013,2026-05-09
ORD-000062,C01217,P074,2025-05-30,3,10333.28,retourné,Fès,Cash,,
ORD-000063,C04534,P010,2025-08-07,3,716.27,retourné,Rabat,Cash,L013,
ORD-000064,C02781,P009,27/12/2025,4,8424.91,livré,Casablanca,Cash,L011,2025-12-28
ORD-000065,C01275,P011,Jun 21 2025,5,14137.04,retourné,Tnja,Transfer,L002,
ORD-000066,C01309,P065,2025-07-24,3,8042.6,retourné,Fès,Transfer,,
ORD-000067,C02524,P048,12/03/2026,2,13396.47,en_cours,Rabat,Transfer,L016,
ORD-000068,C02449,P089,11/04/2026,2,0.0,en_cours,Agadir,Cash,L005,
ORD-000069,C03068,P042,Dec 24 2025,5,1281.09,annulé,Casablanca,Cash,L009,
ORD-000070,C03212,P095,07/02/2026,3,10216.02,livré,Rabat,Card,,2026-02-08
ORD-000071,C01862,P014,12/04/2026,2,8514.68,retourné,TNG,Transfer,L004,
ORD-000072,C03035,P093,02/07/2025,2,4435.51,livré,TNG,Transfer,L002,2025-07-07
ORD-000073,C01748,P029,05/02/2026,1,11138.83,livré,Oujda,Transfer,L001,2026-02-07
ORD-000074,C04603,P073,2025-10-25,5,3991.83,en_cours,Agadir,Transfer,L017,
ORD-000075,C02033,P048,Sep 05 2025,1,13396.47,retourné,Oujda,Card,,
ORD-000076,C04559,P064,03/08/2025,3,4968.56,annulé,Agadir,Transfer,L019,
ORD-000077,C03126,P035,31/08/2025,5,3344.28,livré,Tnja,Cash,L012,2025-09-02
ORD-000078,C02160,P071,2025-07-27,1,2615.47,annulé,Rabat,Card,L020,
ORD-000079,C03209,P046,2025-09-03,5,9193.66,livré,Fès,Card,L018,2025-09-06
ORD-000080,C02658,P031,2025-10-18,2,6633.11,retourné,Fès,Cash,L012,
ORD-000081,C04152,P086,15/04/2026,4,7894.01,retourné,Casablanca,Card,L010,
ORD-000082,C03187,P048,Aug 29 2025,5,13396.47,en_cours,Tnja,Cash,L002,
ORD-000083,C02104,P002,20/02/2026,2,2990.58,KO,Agadir,Transfer,L012,
ORD-000084,C02968,P003,Jul 21 2025,3,2340.64,en_cours,Fès,Transfer,L018,
ORD-000085,C03236,P093,2026-04-18,4,4435.51,en_cours,Marrakech,Card,L014,
ORD-000086,C04903,P090,08/06/2025,1,11889.87,retourné,Rabat,Card,L002,
ORD-000087,C74942,P090,2026-05-04,3,11889.87,en_cours,Fès,Transfer,L001,
ORD-000088,C03740,P007,2025-12-08,1,9603.6,annulé,Fès,Card,L008,
ORD-000089,C01099,P088,Sep 14 2025,5,4317.81,livré,Agadir,Cash,L008,2025-09-16
ORD-000090,C03205,P016,08/06/2025,3,1823.85,annulé,Marrakech,Cash,L007,
ORD-000091,C03645,P090,Aug 28 2025,3,11889.87,en_cours,TANGER,Transfer,L010,
ORD-000092,C00719,P012,2025-08-29,5,10834.16,annulé,tanger,Card,L017,
ORD-000093,C04631,P057,Oct 08 2025,1,10362.31,annulé,Agadir,Cash,L004,
ORD-000094,C04833,P035,25/08/2025,5,3344.28,retourné,Fès,Card,L007,
ORD-000095,C03541,P030,2025-11-12,1,12693.09,retourné,Rabat,Card,L011,
ORD-000096,C01892,P060,2025-12-26,1,14019.98,retourné,Fès,Cash,L015,
ORD-000097,C01016,P089,Jun 22 2025,5,0.0,annulé,Meknès,Cash,L017,
ORD-000098,C00881,P043,21/11/2025,2,376.14,retourné,TANGER,Transfer,L004,
ORD-000099,C02755,P070,Aug 21 2025,1,6438.16,annulé,Tnja,Transfer,L008,
ORD-000100,C03750,P058,Dec 08 2025,3,1043.66,livré,Fès,Cash,,2025-12-13
ORD-000101,C04726,P063,Jul 23 2025,5,268.48,livré,Oujda,Card,L014,2025-07-27
ORD-000102,C04689,P027,2025-07-28,2,1508.72,annulé,Tnja,Cash,L019,
ORD-000103,C04645,P063,Jun 07 2025,5,268.48,retourné,Rabat,Cash,L008,
ORD-000104,C00886,P097,2026-02-14,2,12372.1,annulé,Agadir,Transfer,L005,
ORD-000105,C03101,P034,2025-10-31,3,13868.06,annulé,Marrakech,Transfer,L005,
ORD-000106,C02695,P003,15/11/2025,4,2340.64,en_cours,TANGER,Card,L019,
ORD-000107,C02350,P024,18/05/2026,5,862.62,annulé,Rabat,Cash,L015,
ORD-000108,C02427,P023,24/05/2025,5,4457.65,livré,Meknès,Transfer,L006,2025-05-26
ORD-000109,C04387,P071,Dec 21 2025,5,2615.47,en_cours,Agadir,Card,L008,
ORD-000110,C00894,P023,05/03/2026,2,4457.65,livré,TNG,Card,L006,2026-03-06
ORD-000111,C01892,P022,Jun 27 2025,1,42.31,annulé,tanger,Cash,L013,
ORD-000112,C89204,P088,24/10/2025,2,4317.81,en_cours,Tnja,Cash,L019,
ORD-000113,C00311,P089,May 24 2025,2,0.0,en_cours,Casablanca,Card,,
ORD-000114,C00828,P001,2025-09-01,4,2101.67,annulé,Tnja,Card,L009,
ORD-000115,C00894,P016,03/09/2025,2,1823.85,annulé,Agadir,Cash,L002,
ORD-000116,C02005,P023,Feb 11 2026,2,4457.65,livré,Marrakech,Transfer,L018,2026-02-12
ORD-000117,C02320,P024,10/09/2025,1,862.62,en_cours,Casablanca,Cash,L013,
ORD-000118,C00692,P077,2025-07-28,2,0.0,retourné,Fès,Transfer,L006,
ORD-000119,C04426,P012,Dec 22 2025,2,10834.16,en_cours,Casablanca,Card,L020,
ORD-000120,C04968,P069,2026-04-07,2,1286.86,livré,Fès,Card,L007,2026-04-11
ORD-000121,C00425,P011,14/06/2025,1,14137.04,annulé,Oujda,Card,L009,
ORD-000122,C01194,P083,05/07/2025,1,4485.35,annulé,Rabat,Cash,L014,
ORD-000123,C04614,P027,2025-07-13,3,1508.72,annulé,Agadir,Transfer,L013,
ORD-000124,C03804,P080,Apr 03 2026,4,9454.03,annulé,Fès,Cash,L009,
ORD-000125,C01871,P003,Nov 24 2025,4,2340.64,annulé,Marrakech,Transfer,L010,
ORD-000126,C03725,P006,Sep 29 2025,1,5559.01,retourné,Oujda,Cash,L004,
ORD-000127,C01118,P089,2026-03-10,3,0.0,annulé,Casablanca,Transfer,L014,
ORD-000128,C02095,P041,04/06/2025,3,8703.97,annulé,Fès,Cash,L017,
ORD-000129,C03339,P002,2025-12-24,5,2990.58,livré,Meknès,Transfer,L002,2025-12-28
ORD-000130,C02467,P079,Sep 27 2025,4,11402.26,retourné,Casablanca,Cash,L011,
ORD-000131,C02217,P046,26/01/2026,3,9193.66,annulé,Meknès,Cash,L017,
ORD-000132,C01716,P016,Apr 26 2026,2,1823.85,en_cours,TANGER,Transfer,L013,
ORD-000133,C04290,P002,14/02/2026,1,2990.58,retourné,Agadir,Card,L003,
ORD-000134,C02106,P090,Jan 17 2026,3,11889.87,en_cours,Fès,Cash,L019,
ORD-000135,C00144,P076,12/11/2025,3,8784.09,annulé,Rabat,Card,L003,
ORD-000136,C04673,P037,27/07/2025,3,14556.31,annulé,Agadir,Card,L017,
ORD-000137,C01273,P057,Jul 18 2025,4,0.0,en_cours,Agadir,Card,,
ORD-000138,C03617,P069,Jun 22 2025,3,1286.86,annulé,Casablanca,Card,L001,
ORD-000139,C04618,P098,2026-02-28,2,14699.33,en_cours,Rabat,Card,L004,
ORD-000140,C03081,P048,2025-11-14,4,0.0,en_cours,Rabat,Cash,L007,
ORD-000141,C00646,P045,Oct 31 2025,1,3745.48,en_cours,Agadir,Cash,L013,
ORD-000142,C02168,P050,Oct 07 2025,3,4486.2,annulé,Oujda,Card,L005,
ORD-000143,C03746,P034,28/05/2025,4,13868.06,retourné,Agadir,Card,L014,
ORD-000144,C03794,P052,14/12/2025,2,6434.91,retourné,Casablanca,Transfer,,
ORD-000145,C03349,P059,2025-08-02,2,11009.59,en_cours,Oujda,Card,L005,
ORD-000146,C01646,P055,Jul 18 2025,5,1724.7,retourné,Rabat,Card,L016,
ORD-000147,C03638,P058,03/07/2025,4,1043.66,annulé,tanger,Transfer,L002,
ORD-000148,C03482,P062,Nov 06 2025,1,2873.94,KO,Casablanca,Transfer,L014,
ORD-000149,C02970,P040,Jul 13 2025,5,1918.04,retourné,Fès,Card,L013,
ORD-000150,C03084,P001,Aug 27 2025,3,2101.67,en_cours,TNG,Cash,L013,
ORD-000151,C01385,P037,2026-03-16,4,14556.31,livré,Marrakech,Card,L003,2026-03-20
ORD-000152,C02758,P056,2025-10-19,5,12291.32,livré,Marrakech,Cash,L016,2025-10-21
ORD-000153,C03388,P048,2025-05-22,1,13396.47,retourné,Meknès,Cash,L004,
ORD-000154,C01282,P021,31/10/2025,2,14989.24,en_cours,Agadir,Transfer,L015,
ORD-000155,C02151,P077,2026-04-07,3,10408.17,retourné,Casablanca,Card,L001,
ORD-000156,C03919,P066,Apr 15 2026,2,4450.73,livré,TNG,Card,L008,2026-04-19
ORD-000157,C03423,P062,2026-05-17,2,2873.94,livré,Agadir,Cash,L003,2026-05-22
ORD-000158,C03158,P008,2025-10-30,2,13697.91,en_cours,Casablanca,Cash,,
ORD-000159,C00111,P070,2025-07-24,3,6438.16,livré,TANGER,Card,L009,2025-07-25
ORD-000160,C03245,P052,2025-06-30,1,0.0,annulé,Agadir,Card,L007,
ORD-000161,C00723,P081,15/05/2026,5,6927.1,livré,Meknès,Transfer,L009,2026-05-20
ORD-000162,C04283,P091,2025-05-22,5,0.0,livré,Rabat,Cash,L017,2025-05-27
ORD-000163,C04915,P077,2026-03-10,2,10408.17,en_cours,Agadir,Transfer,L018,
ORD-000164,C00191,P044,Oct 09 2025,2,6000.8,en_cours,Casablanca,Transfer,L009,
ORD-000165,C03648,P082,29/08/2025,3,8273.46,retourné,Rabat,Cash,L002,
ORD-000166,C04235,P011,23/10/2025,4,14137.04,livré,Rabat,Cash,L007,2025-10-28
ORD-000167,C02885,P051,2025-08-12,4,11974.15,DONE,tanger,Transfer,L011,
ORD-000168,C01986,P035,06/02/2026,4,3344.28,en_cours,Casablanca,Cash,L008,
ORD-000169,C01961,P048,05/10/2025,2,13396.47,retourné,Marrakech,Transfer,L003,
ORD-000170,C03481,P001,2025-11-08,5,2101.67,KO,Agadir,Transfer,L013,
ORD-000171,C02682,P098,Jan 22 2026,1,14699.33,livré,Tnja,Card,L002,2026-01-26
ORD-000172,C02507,P034,2026-01-25,3,13868.06,annulé,Meknès,Transfer,L003,
ORD-000173,C00926,P047,2025-06-23,4,12599.54,retourné,Casablanca,Transfer,L001,
ORD-000174,C00646,P032,05/06/2025,1,5544.55,retourné,Oujda,Cash,L017,
ORD-000175,C00322,P070,2026-04-07,1,6438.16,en_cours,Tnja,Transfer,L005,
ORD-000176,C02814,P094,Aug 25 2025,3,12494.26,en_cours,Casablanca,Transfer,L003,
ORD-000177,C04574,P095,2026-01-27,1,10216.02,annulé,Meknès,Card,L018,
ORD-000178,C01915,P025,Jun 07 2025,4,0.0,retourné,Oujda,Cash,L017,
ORD-000179,C00447,P004,14/09/2025,1,8048.06,retourné,Fès,Card,L014,
ORD-000180,C01903,P065,2025-06-16,5,8042.6,KO,Agadir,Transfer,L012,
ORD-000181,C02014,P048,2025-07-01,4,13396.47,livré,Rabat,Card,,2025-07-05
ORD-000182,C04838,P084,Jan 06 2026,5,0.0,livré,Oujda,Cash,L002,2026-01-10
ORD-000183,C03012,P092,Jan 29 2026,2,3758.97,en_cours,Meknès,Cash,L014,
ORD-000184,C02066,P024,18/09/2025,5,862.62,en_cours,Fès,Cash,L007,
ORD-000185,C04210,P083,May 17 2026,3,4485.35,annulé,Casablanca,Cash,L013,
ORD-000186,C02111,P100,2025-10-06,5,957.62,en_cours,Marrakech,Transfer,L019,
ORD-000187,C01527,P034,28/07/2025,-4,13868.06,annulé,Rabat,Cash,L004,
ORD-000188,C02840,P067,2025-09-17,5,13028.23,en_cours,Casablanca,Cash,L018,
ORD-000189,C03148,P042,08/09/2025,1,1281.09,retourné,Casablanca,Card,L001,
ORD-000190,C01590,P017,Oct 23 2025,3,0.0,livré,Agadir,Card,L016,2025-10-26
ORD-000191,C01907,P043,2025-09-17,4,376.14,retourné,TNG,Cash,L005,
ORD-000192,C01364,P036,2025-12-08,1,4186.26,en_cours,Casablanca,Cash,L018,
ORD-000193,C04900,P077,2025-10-23,2,10408.17,annulé,TNG,Cash,L008,
ORD-000194,C03062,P076,19/10/2025,2,8784.09,livré,Rabat,Cash,L005,2025-10-21
ORD-000195,C02234,P025,May 29 2025,4,0.0,livré,Marrakech,Transfer,L012,2025-06-03
ORD-000196,C03656,P009,2025-09-06,1,8424.91,retourné,Casablanca,Transfer,L013,
ORD-000197,C02588,P079,2026-02-09,5,11402.26,retourné,Oujda,Transfer,L004,
ORD-000198,C04701,P009,05/08/2025,2,8424.91,OK,Oujda,Cash,L002,
ORD-000199,C02727,P085,Aug 10 2025,5,12173.02,annulé,Fès,Transfer,L002,
ORD-000200,C02581,P100,14/08/2025,1,957.62,en_cours,Marrakech,Card,L017,
ORD-000201,C02778,P056,02/10/2025,5,12291.32,livré,Agadir,Cash,L007,2025-10-05
ORD-000202,C00714,P026,2026-02-07,2,3991.56,en_cours,Casablanca,Card,L020,
ORD-000203,C02348,P072,Aug 02 2025,2,10547.78,retourné,Casablanca,Cash,L019,
ORD-000204,C02586,P061,2025-06-13,3,12765.78,annulé,Oujda,Cash,L003,
ORD-000205,C02566,P019,Jun 10 2025,4,12958.91,livré,Fès,Card,L014,2025-06-12
ORD-000206,C00539,P081,Jun 15 2025,2,6927.1,en_cours,Oujda,Cash,L005,
ORD-000207,C00312,P055,Oct 19 2025,3,1724.7,retourné,TNG,Card,L015,
ORD-000208,C00386,P009,2026-04-25,3,8424.91,retourné,Agadir,Transfer,L008,
ORD-000209,C01058,P044,2025-05-28,3,6000.8,livré,Casablanca,Transfer,L018,2025-06-01
ORD-000210,C00876,P089,Apr 19 2026,4,0.0,retourné,Casablanca,Cash,L012,
ORD-000211,C04330,P081,14/10/2025,5,6927.1,livré,Meknès,Card,L003,2025-10-15
ORD-000212,C02824,P052,Feb 20 2026,1,6434.91,en_cours,Casablanca,Cash,L019,
ORD-000213,C03558,P084,Dec 04 2025,5,2837.9,livré,Meknès,Card,L001,2025-12-05
ORD-000214,C02479,P055,2026-02-05,1,1724.7,en_cours,Meknès,Transfer,L017,
ORD-000215,C03470,P018,20/01/2026,3,13236.92,annulé,TANGER,Transfer,L014,
ORD-000216,C01286,P080,2026-03-17,5,9454.03,annulé,Casablanca,Cash,L008,
ORD-000217,C02061,P092,Sep 03 2025,4,3758.97,retourné,Casablanca,Cash,L003,
ORD-000218,C00981,P076,Nov 02 2025,5,8784.09,livré,Agadir,Card,L017,2025-11-04
ORD-000219,C04079,P094,2025-12-28,5,12494.26,annulé,Casablanca,Transfer,L020,
ORD-000220,C00925,P093,31/01/2026,1,4435.51,annulé,Marrakech,Transfer,L008,
ORD-000221,C03748,P041,16/12/2025,2,8703.97,en_cours,Fès,Card,,
ORD-000222,C02436,P063,2025-12-07,2,268.48,annulé,Tnja,Cash,L002,
ORD-000223,C02453,P075,Jul 11 2025,3,3441.58,retourné,Meknès,Transfer,L018,
ORD-000224,C03447,P064,Nov 20 2025,4,0.0,en_cours,Fès,Card,L011,
ORD-000225,C01145,P064,13/11/2025,2,4968.56,retourné,Agadir,Card,L007,
ORD-000226,C02559,P036,Aug 03 2025,1,4186.26,en_cours,Fès,Cash,L008,
ORD-000227,C00382,P008,29/07/2025,2,13697.91,en_cours,Fès,Card,L002,
ORD-000228,C00139,P066,2025-07-31,5,4450.73,KO,Fès,Card,L002,
ORD-000229,C02208,P071,2025-07-31,4,2615.47,annulé,Oujda,Card,L020,
ORD-000230,C00568,P001,Dec 03 2025,5,2101.67,livré,TANGER,Transfer,L010,2025-12-06
ORD-000231,C00211,P042,May 02 2026,3,1281.09,en_cours,Oujda,Card,L002,
ORD-000232,C03440,P082,2026-02-28,1,8273.46,DONE,Casablanca,Transfer,L016,
ORD-000233,C02977,P032,08/10/2025,1,5544.55,DONE,Fès,Card,L016,
ORD-000234,C01739,P010,Jun 07 2025,3,716.27,livré,Rabat,Transfer,L008,2025-06-12
ORD-000235,C01069,P067,21/08/2025,4,13028.23,retourné,Casablanca,Transfer,L018,
ORD-000236,C01125,P099,Aug 12 2025,4,10088.39,livré,Meknès,Transfer,L006,2025-08-14
ORD-000237,C00426,P088,2025-10-09,3,4317.81,retourné,Casablanca,Transfer,L013,
ORD-000238,C02066,P013,Feb 10 2026,1,5614.97,annulé,Oujda,Cash,L010,
ORD-000239,C03442,P084,2025-10-14,5,2837.9,livré,Fès,Cash,L003,2025-10-16
ORD-000240,C04122,P090,Jun 14 2025,2,11889.87,livré,Fès,Transfer,L020,2025-06-16
ORD-000241,C04581,P007,23/01/2026,1,9603.6,retourné,Casablanca,Transfer,L015,
ORD-000242,C01512,P045,2025-09-24,4,3745.48,livré,TANGER,Card,L008,2025-09-26
ORD-000243,C03487,P007,01/05/2026,1,9603.6,annulé,Rabat,Transfer,L001,
ORD-000244,C04312,P072,19/06/2025,1,10547.78,annulé,Rabat,Cash,L014,
ORD-000245,C00780,P008,12/04/2026,3,13697.91,livré,tanger,Cash,L019,2026-04-13
ORD-000246,C04979,P081,27/09/2025,5,6927.1,livré,Casablanca,Transfer,,2025-09-30
ORD-000247,C00879,P022,Feb 28 2026,3,42.31,annulé,Meknès,Transfer,,
ORD-000248,C01489,P051,Sep 24 2025,2,11974.15,annulé,Meknès,Card,L020,
ORD-000249,C04958,P031,Sep 11 2025,1,6633.11,en_cours,Casablanca,Transfer,L009,
ORD-000250,C04110,P016,10/09/2025,4,1823.85,annulé,Fès,Card,L018,
ORD-000251,C04884,P009,2026-03-01,2,8424.91,en_cours,Meknès,Transfer,L020,
ORD-000252,C00459,P046,Feb 17 2026,2,9193.66,en_cours,tanger,Card,L016,
ORD-000253,C03455,P025,2025-06-24,3,0.0,en_cours,Agadir,Cash,L017,
ORD-000254,C04468,P048,2025-11-23,1,13396.47,retourné,Oujda,Card,L014,
ORD-000255,C00585,P008,2025-05-23,1,13697.91,livré,Meknès,Transfer,L007,2025-05-26
ORD-000256,C01918,P072,2025-11-03,5,10547.78,retourné,Tnja,Cash,L018,
ORD-000257,C03514,P078,21/05/2026,5,7723.8,retourné,Tnja,Cash,L010,
ORD-000258,C02118,P039,16/12/2025,5,9966.92,annulé,Marrakech,Transfer,L014,
ORD-000259,C02817,P013,Jul 26 2025,5,5614.97,annulé,Fès,Card,L003,
ORD-000260,C01477,P074,09/07/2025,4,10333.28,livré,Oujda,Card,L004,2025-07-10
ORD-000261,C00479,P011,06/02/2026,2,14137.04,retourné,Casablanca,Transfer,L018,
ORD-000262,C03779,P086,2025-05-24,5,7894.01,livré,Meknès,Card,L016,2025-05-29
ORD-000263,C02448,P007,2026-04-25,1,9603.6,KO,Oujda,Cash,L013,
ORD-000264,C02739,P001,2025-10-20,1,2101.67,en_cours,Marrakech,Transfer,L017,
ORD-000265,C03729,P026,2025-09-28,3,3991.56,en_cours,TNG,Card,L009,
ORD-000266,C00854,P064,Oct 04 2025,2,4968.56,retourné,tanger,Cash,L011,
ORD-000267,C00460,P015,2025-06-10,3,7919.83,retourné,TANGER,Card,L017,
ORD-000268,C00375,P022,06/02/2026,4,42.31,en_cours,Meknès,Card,L004,
ORD-000269,C02935,P007,Jan 30 2026,1,9603.6,KO,Rabat,Transfer,L017,
ORD-000270,C01186,P008,10/04/2026,2,13697.91,livré,Marrakech,Cash,L013,2026-04-11
ORD-000271,C03963,P085,Jun 08 2025,4,12173.02,retourné,Meknès,Transfer,L004,
ORD-000272,C03550,P077,04/10/2025,1,10408.17,retourné,Agadir,Transfer,L017,
ORD-000273,C04775,P034,Jul 24 2025,2,13868.06,DONE,Casablanca,Cash,L016,
ORD-000274,C01869,P043,29/09/2025,5,376.14,retourné,Casablanca,Card,L016,
ORD-000275,C04155,P065,2026-04-08,5,8042.6,retourné,Tnja,Card,L003,
ORD-000276,C00634,P017,2025-11-21,1,0.0,en_cours,Casablanca,Cash,L016,
ORD-000277,C03433,P035,Apr 22 2026,2,3344.28,en_cours,TNG,Transfer,L017,
ORD-000278,C02563,P076,Jul 21 2025,1,8784.09,retourné,Oujda,Cash,L013,
ORD-000279,C02568,P063,28/07/2025,2,268.48,retourné,Rabat,Card,,
ORD-000280,C01671,P071,2025-06-05,3,0.0,livré,Oujda,Transfer,L020,2025-06-10
ORD-000281,C03761,P083,13/03/2026,5,4485.35,annulé,Meknès,Card,L016,
ORD-000282,C00358,P013,28/01/2026,5,5614.97,en_cours,Casablanca,Card,L004,
ORD-000283,C00871,P070,Mar 11 2026,3,6438.16,livré,Oujda,Card,L017,2026-03-15
ORD-000284,C02928,P054,2025-11-15,1,9755.66,livré,Rabat,Card,L015,2025-11-17
ORD-000285,C03476,P039,2025-11-17,1,9966.92,annulé,Meknès,Card,L014,
ORD-000286,C00613,P042,2025-11-22,2,1281.09,livré,Casablanca,Card,L008,2025-11-27
ORD-000287,C01981,P076,May 27 2025,2,8784.09,retourné,Marrakech,Card,L006,
ORD-000288,C00691,P099,26/06/2025,3,10088.39,annulé,Oujda,Transfer,L017,
ORD-000289,C02355,P078,2025-12-25,4,7723.8,retourné,Meknès,Card,L007,
ORD-000290,C02718,P058,Mar 24 2026,5,1043.66,en_cours,Oujda,Cash,L018,
ORD-000291,C03741,P088,28/10/2025,1,4317.81,livré,Casablanca,Transfer,L016,2025-11-02
ORD-000292,C02349,P035,14/12/2025,5,3344.28,annulé,tanger,Transfer,L010,
ORD-000293,C03044,P042,23/05/2025,4,1281.09,livré,Casablanca,Transfer,L013,2025-05-24
ORD-000294,C03119,P072,18/02/2026,2,10547.78,retourné,Meknès,Transfer,L011,
ORD-000295,C04652,P073,20/08/2025,1,3991.83,en_cours,TANGER,Cash,L017,
ORD-000296,C04783,P098,Jun 24 2025,3,14699.33,en_cours,Casablanca,Transfer,L003,
ORD-000297,C00033,P030,2026-01-03,1,12693.09,retourné,Fès,Cash,L016,
